Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
14,48,35,1,0,40,3,caught,3,,v India,Birmingham,01-Aug-18,Test # 2314
19,82,53,2,0,35.84,3,lbw,2,,v India,Lord's,09-Aug-18,Test # 2315
16,68,29,2,0,55.17,3,caught,2,,v India,Nottingham,18-Aug-18,Test # 2316
13,71,40,2,0,32.5,3,caught,4,,v India,Nottingham,18-Aug-18,Test # 2316
4,26,14,0,0,28.57,3,lbw,1,,v India,Southampton,30-Aug-18,Test # 2317
48,140,88,6,0,54.54,4,run out,3,,v India,Southampton,30-Aug-18,Test # 2317
0,4,3,0,0,0,4,lbw,1,,v India,The Oval,07-Sep-18,Test # 2318
125,264,190,12,1,65.78,4,caught,3,,v India,The Oval,07-Sep-18,Test # 2318
35,-,46,5,0,76.08,4,bowled,1,,v Sri Lanka,Galle,06-Nov-18,Test # 2324
3,-,19,0,0,15.78,4,caught,3,,v Sri Lanka,Galle,06-Nov-18,Test # 2324
14,-,23,2,0,60.86,4,bowled,1,,v Sri Lanka,Pallekele,14-Nov-18,Test # 2326
124,-,146,10,2,84.93,4,lbw,3,,v Sri Lanka,Pallekele,14-Nov-18,Test # 2326
46,-,79,4,0,58.22,4,caught,1,,v Sri Lanka,Colombo (SSC),23-Nov-18,Test # 2329
7,-,9,0,0,77.77,4,caught,3,,v Sri Lanka,Colombo (SSC),23-Nov-18,Test # 2329
4,22,14,1,0,28.57,4,lbw,2,,v West Indies,Bridgetown,23-Jan-19,Test # 2342
22,64,39,3,0,56.41,4,caught,4,,v West Indies,Bridgetown,23-Jan-19,Test # 2342
7,31,17,1,0,41.17,4,caught,1,,v West Indies,North Sound,31-Jan-19,Test # 2344
7,22,13,1,0,53.84,4,caught,3,,v West Indies,North Sound,31-Jan-19,Test # 2344
15,78,54,2,0,27.77,4,caught,1,,v West Indies,Gros Islet,09-Feb-19,Test # 2346
122,317,225,10,0,54.22,4,caught,3,,v West Indies,Gros Islet,09-Feb-19,Test # 2346
2,15,7,0,0,28.57,4,lbw,1,,v Ireland,Lord's,24-Jul-19,Test # 2352
31,93,64,3,0,48.43,5,caught,3,,v Ireland,Lord's,24-Jul-19,Test # 2352
57,192,119,6,0,47.89,3,caught,2,,v Australia,Birmingham,01-Aug-19,Test # 2353
28,97,57,3,0,49.12,3,caught,4,,v Australia,Birmingham,01-Aug-19,Test # 2353
14,37,20,3,0,70,3,lbw,1,,v Australia,Lord's,14-Aug-19,Test # 2355
0,2,1,0,0,0,3,caught,3,,v Australia,Lord's,14-Aug-19,Test # 2355
0,8,2,0,0,0,3,caught,2,,v Australia,Leeds,22-Aug-19,Test # 2357
77,322,205,7,0,37.56,3,caught,4,,v Australia,Leeds,22-Aug-19,Test # 2357
71,255,168,10,0,42.26,4,lbw,2,,v Australia,Manchester,04-Sep-19,Test # 2360
0,2,1,0,0,0,3,bowled,4,,v Australia,Manchester,04-Sep-19,Test # 2360
57,218,141,3,0,40.42,3,bowled,1,,v Australia,The Oval,12-Sep-19,Test # 2362
21,54,26,2,0,80.76,3,caught,3,,v Australia,The Oval,12-Sep-19,Test # 2362
2,30,22,0,0,9.09,4,caught,1,,v New Zealand,Mount Maunganui,21-Nov-19,Test # 2367
11,54,51,2,0,21.56,5,caught,3,,v New Zealand,Mount Maunganui,21-Nov-19,Test # 2367
226,636,441,22,1,51.24,4,caught,2,,v New Zealand,Hamilton,29-Nov-19,Test # 2371
29,84,49,5,0,59.18,4,caught,2,,v South Africa,Centurion,26-Dec-19,Test # 2377
48,166,101,8,0,47.52,4,caught,4,,v South Africa,Centurion,26-Dec-19,Test # 2377
35,62,49,5,0,71.42,4,caught,1,,v South Africa,Cape Town,03-Jan-20,Test # 2379
61,154,98,7,0,62.24,4,caught,3,,v South Africa,Cape Town,03-Jan-20,Test # 2379
27,68,46,4,0,58.69,4,bowled,1,,v South Africa,Gqeberha,16-Jan-20,Test # 2380
59,176,108,6,0,54.62,4,caught,1,,v South Africa,Johannesburg,24-Jan-20,Test # 2382
58,176,96,5,1,60.41,4,caught,3,,v South Africa,Johannesburg,24-Jan-20,Test # 2382
23,80,49,2,0,46.93,4,caught,1,,v West Indies,Manchester,16-Jul-20,Test # 2389
22,58,33,0,0,66.66,4,run out,3,,v West Indies,Manchester,16-Jul-20,Test # 2389
17,92,59,0,0,28.81,3,run out,1,,v West Indies,Manchester,24-Jul-20,Test # 2390
68*,77,56,8,1,121.42,3,not out,3,,v West Indies,Manchester,24-Jul-20,Test # 2390
14,93,58,2,0,24.13,3,caught,2,,v Pakistan,Manchester,05-Aug-20,Test # 2391
42,110,84,7,0,50,3,caught,4,,v Pakistan,Manchester,05-Aug-20,Test # 2391
9*,49,35,0,0,25.71,4,not out,2,,v Pakistan,Southampton,13-Aug-20,Test # 2392
29,68,51,3,0,56.86,4,caught,1,,v Pakistan,Southampton,21-Aug-20,Test # 2393
228,476,321,18,1,71.02,4,caught,2,,v Sri Lanka,Galle,14-Jan-21,Test # 2403
1,6,3,0,0,33.33,4,run out,4,,v Sri Lanka,Galle,14-Jan-21,Test # 2403
186,495,309,18,0,60.19,4,run out,2,,v Sri Lanka,Galle,22-Jan-21,Test # 2405
11,30,16,1,0,68.75,4,bowled,4,,v Sri Lanka,Galle,22-Jan-21,Test # 2405
218,536,377,19,2,57.82,4,lbw,1,,v India,Chennai,05-Feb-21,Test # 2409
40,70,32,7,0,125,4,lbw,3,,v India,Chennai,05-Feb-21,Test # 2409
6,13,12,0,0,50,4,caught,2,,v India,Chennai,13-Feb-21,Test # 2411
33,133,92,3,0,35.86,5,caught,4,,v India,Chennai,13-Feb-21,Test # 2411
17,63,37,2,0,45.94,4,lbw,1,,v India,Ahmedabad,24-Feb-21,Test # 2412
19,69,45,0,0,42.22,4,lbw,3,,v India,Ahmedabad,24-Feb-21,Test # 2412
5,24,9,1,0,55.55,4,lbw,1,,v India,Ahmedabad,04-Mar-21,Test # 2414
30,79,72,3,0,41.66,4,lbw,3,,v India,Ahmedabad,04-Mar-21,Test # 2414
42,169,113,5,0,37.16,4,caught,2,,v New Zealand,Lord's,02-Jun-21,Test # 2422
40,109,71,5,0,56.33,4,lbw,4,,v New Zealand,Lord's,02-Jun-21,Test # 2422
4,13,7,1,0,57.14,4,caught,1,,v New Zealand,Birmingham,10-Jun-21,Test # 2423
11,102,61,1,0,18.03,4,caught,3,,v New Zealand,Birmingham,10-Jun-21,Test # 2423
64,178,108,11,0,59.25,4,lbw,1,,v India,Nottingham,04-Aug-21,Test # 2428
109,284,172,14,0,63.37,4,caught,3,,v India,Nottingham,04-Aug-21,Test # 2428
180*,533,321,18,0,56.07,4,not out,2,,v India,Lord's,12-Aug-21,Test # 2429
33,94,60,5,0,55,4,caught,4,,v India,Lord's,12-Aug-21,Test # 2429
121,242,165,14,0,73.33,4,bowled,2,,v India,Leeds,25-Aug-21,Test # 2432
21,52,25,4,0,84,4,bowled,2,,v India,The Oval,02-Sep-21,Test # 2433
36,123,78,3,0,46.15,4,bowled,4,,v India,The Oval,02-Sep-21,Test # 2433
0,13,9,0,0,0,4,caught,1,,v Australia,Brisbane,08-Dec-21,Test # 2440
89,246,165,10,0,53.93,4,caught,3,,v Australia,Brisbane,08-Dec-21,Test # 2440
62,169,116,7,0,53.44,4,caught,2,,v Australia,Adelaide,16-Dec-21,Test # 2441
24,99,67,1,0,35.82,4,caught,4,,v Australia,Adelaide,16-Dec-21,Test # 2441
50,113,82,4,0,60.97,4,caught,1,,v Australia,Melbourne,26-Dec-21,Test # 2442
28,98,59,4,0,47.45,4,caught,3,,v Australia,Melbourne,26-Dec-21,Test # 2442
0,14,7,0,0,0,4,caught,2,,v Australia,Sydney,05-Jan-22,Test # 2446
24,131,85,3,0,28.23,4,caught,4,,v Australia,Sydney,05-Jan-22,Test # 2446
34,74,46,3,0,73.91,4,lbw,2,,v Australia,Hobart,14-Jan-22,Test # 2449
11,57,31,1,0,35.48,4,bowled,4,,v Australia,Hobart,14-Jan-22,Test # 2449
13,30,14,3,0,92.85,3,bowled,1,,v West Indies,North Sound,08-Mar-22,Test # 2454
109,338,204,6,0,53.43,3,bowled,3,,v West Indies,North Sound,08-Mar-22,Test # 2454
153,491,316,14,0,48.41,3,lbw,1,,v West Indies,Bridgetown,16-Mar-22,Test # 2457
9,17,10,1,0,90,3,caught,3,,v West Indies,Bridgetown,16-Mar-22,Test # 2457
0,14,9,0,0,0,3,caught,1,,v West Indies,St George's,24-Mar-22,Test # 2459
5,25,12,0,0,41.66,3,caught,3,,v West Indies,St George's,24-Mar-22,Test # 2459
11,21,15,2,0,73.33,4,caught,2,,v New Zealand,Lord's,02-Jun-22,Test # 2464
115*,328,170,12,0,67.64,4,not out,4,,v New Zealand,Lord's,02-Jun-22,Test # 2464
176,353,211,26,1,83.41,4,caught,2,,v New Zealand,Nottingham,10-Jun-22,Test # 2465
3,5,4,0,0,75,4,caught,4,,v New Zealand,Nottingham,10-Jun-22,Test # 2465
5,16,9,1,0,55.55,4,caught,2,,v New Zealand,Leeds,23-Jun-22,Test # 2467
